Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2000-01-03,0.08943143486976624,0.09098392013926491,0.0842971468863959,0.09026774269917122,300912000
2000-01-04,0.08704357594251633,0.08811830000537442,0.08262546479897884,0.08787896837201765,300480000
2000-01-05,0.08417792618274689,0.08596882727034033,0.0829839875695589,0.08453647260557176,188352000
2000-01-06,0.07868509739637375,0.08417793136880226,0.0754618346132436,0.08417793136880226,120480000
2000-01-07,0.07999914884567261,0.0808345341427037,0.07713351738042261,0.07832745590622392,71184000
2000-01-10,0.08262541890144348,0.08596880412490819,0.07880519487100868,0.08023754915014364,239856000
2000-01-11,0.07928204536437988,0.08310319230326842,0.07928204536437988,0.0821476766902578,148128000
2000-01-12,0.07725275307893753,0.07940220803442112,0.07617802901729098,0.07928207762892388,123552000
2000-01-13,0.08047599345445633,0.0811930862984856,0.0761780071244092,0.0771335228516688,132192000
2000-01-14,0.0839385837316513,0.08728196969377894,0.08143150543276031,0.08167084381823536,604560000
2000-01-18,0.08752129971981049,0.08787893057793858,0.08119307480549236,0.08501329931505729,261648000
2000-01-19,0.08668500930070877,0.0878789479786035,0.08596883192951052,0.0878789479786035,164688000
2000-01-20,0.08644657582044601,0.09217783194717893,0.08573039853692867,0.08740209148466718,179568000
2000-01-21,0.08549107611179352,0.08656579990836272,0.0833416216864663,0.08620725347173941,544272000
2000-01-24,0.0816708505153656,0.08823749261265296,0.08119308921845965,0.08823749261265296,256944000
2000-01-25,0.08095374703407288,0.08286477846810357,0.07832746062239661,0.08202847077533107,237120000
2000-01-26,0.07761035859584808,0.08310319882387107,0.07617800399319179,0.08095374457447262,232464000
2000-01-27,0.07355081290006638,0.07820733930924957,0.07068518093042904,0.07820733930924957,458208000
2000-01-28,0.07140227407217026,0.07307396731106398,0.0685366489257981,0.07259621281183797,194448000
2000-01-31,0.07080530375242233,0.07331238216243788,0.06686494833787951,0.071759897132594,182400000
2000-02-01,0.07247606664896011,0.07307395140198975,0.06829729563427016,0.07092450413183042,92976000
2000-02-02,0.07450632005929947,0.07593959718156879,0.07247608041595706,0.07283462686681137,149040000
2000-02-03,0.07570025324821472,0.07844667007974902,0.07522249196488479,0.07689418503552721,108240000
2000-02-04,0.0774911493062973,0.078088118577229,0.07593958670842713,0.078088118577229,123696000
2000-02-07,0.07271543145179749,0.07784971995545042,0.07259622339599898,0.07784971995545042,217488000
